LOCALIDADE;LATITUDE;LONGITUDE;REGIAO;STATUS;QTD_REGISTROS
ITABORAI;-22.7448;-42.8597;Grande Niterói;FORA DO MUNICIPIO;2
SEROPEDICA;-22.7439;-43.7076;Baixada Fluminense;FORA DO MUNICIPIO;2
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;2
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;2
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;2
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;FORA DO MUNICIPIO;2
MARICA;-22.9194;-42.8186;Leste Metropolitano;FORA DO MUNICIPIO;2
ITAGUAI;-22.8636;-43.7753;Costa Verde / Metropolitana;FORA DO MUNICIPIO;2
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;2
ITABORAI;-22.7448;-42.8597;Grande Niterói;FORA DO MUNICIPIO;2
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;2
MESQUITA;-22.7824;-43.4297;Baixada Fluminense;FORA DO MUNICIPIO;2
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;2
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;2
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;2
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;2
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;FORA DO MUNICIPIO;2
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;FORA DO MUNICIPIO;2
ARARUAMA;-22.8727;-42.3434;Região dos Lagos;FORA DO MUNICIPIO;2
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;2
MAGE;-22.6556;-43.0402;Baixada Fluminense;FORA DO MUNICIPIO;2
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;2
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;2
MARICA;-22.9194;-42.8186;Leste Metropolitano;FORA DO MUNICIPIO;2
MARICA;-22.9194;-42.8186;Leste Metropolitano;FORA DO MUNICIPIO;2
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;2
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;2
SANTÍSSIMO;-22.8746;-43.5194;Zona Oeste;BAIRRO RJ;2
JACAREPAGUA     CIDADE DE DEUS;-22.9068;-43.1729;Centro;BAIRRO RJ;2
ITAGUAI;-22.8636;-43.7753;Costa Verde / Metropolitana;FORA DO MUNICIPIO;2
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;2
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;2
NITEROI;-22.8832;-43.1034;Grande Niterói;FORA DO MUNICIPIO;2
JAPERI;-22.6431;-43.6533;Baixada Fluminense;FORA DO MUNICIPIO;2
JAPERI;-22.6431;-43.6533;Baixada Fluminense;FORA DO MUNICIPIO;2
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;FORA DO MUNICIPIO;2
MANGARATIBA;-22.9599;-44.0409;Costa Verde;FORA DO MUNICIPIO;2
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;2
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;2
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;2
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;2
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;FORA DO MUNICIPIO;2
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;FORA DO MUNICIPIO;2
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;2
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;2
MIGUEL PEREIRA;-22.4537;-43.4682;Centro-Sul Fluminense;FORA DO MUNICIPIO;2
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;2
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;2
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;2
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;FORA DO MUNICIPIO;2
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;2
ITABORAI;-22.7448;-42.8597;Grande Niterói;FORA DO MUNICIPIO;2
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;2
MARICA;-22.9194;-42.8186;Leste Metropolitano;FORA DO MUNICIPIO;2
ITABORAI;-22.7448;-42.8597;Grande Niterói;FORA DO MUNICIPIO;2
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;2
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;2
MAGE;-22.6556;-43.0402;Baixada Fluminense;FORA DO MUNICIPIO;2
MESQUITA;-22.7824;-43.4297;Baixada Fluminense;FORA DO MUNICIPIO;2
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;FORA DO MUNICIPIO;2
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;2
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;FORA DO MUNICIPIO;2
ITABORAI;-22.7448;-42.8597;Grande Niterói;FORA DO MUNICIPIO;2
MESQUITA;-22.7824;-43.4297;Baixada Fluminense;FORA DO MUNICIPIO;2
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;2
ITAGUAI;-22.8636;-43.7753;Costa Verde / Metropolitana;FORA DO MUNICIPIO;2
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;2
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;2
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;2
JAPERI;-22.6431;-43.6533;Baixada Fluminense;FORA DO MUNICIPIO;2
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;FORA DO MUNICIPIO;2
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;FORA DO MUNICIPIO;2
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;2
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;2
NILOPOLIS;-22.8058;-43.4233;Baixada Fluminense;FORA DO MUNICIPIO;2
ARARUAMA;-22.8727;-42.3434;Região dos Lagos;FORA DO MUNICIPIO;2
MAGE;-22.6556;-43.0402;Baixada Fluminense;FORA DO MUNICIPIO;2
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;FORA DO MUNICIPIO;2
JAPERI;-22.6431;-43.6533;Baixada Fluminense;FORA DO MUNICIPIO;2
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;2
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;FORA DO MUNICIPIO;2
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;2
NITEROI;-22.8832;-43.1034;Grande Niterói;FORA DO MUNICIPIO;2
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;2
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;2
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;2
ITAGUAI;-22.8636;-43.7753;Costa Verde / Metropolitana;FORA DO MUNICIPIO;2
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;2
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;2
MAGE;-22.6556;-43.0402;Baixada Fluminense;FORA DO MUNICIPIO;2
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;2
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;2
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;2
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;2
MARICA;-22.9194;-42.8186;Leste Metropolitano;FORA DO MUNICIPIO;2
NILOPOLIS;-22.8058;-43.4233;Baixada Fluminense;FORA DO MUNICIPIO;2
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;2
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;FORA DO MUNICIPIO;2
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;2
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;2
CABO FRIO;-22.8894;-42.0286;Região dos Lagos;FORA DO MUNICIPIO;2
JAPERI;-22.6431;-43.6533;Baixada Fluminense;FORA DO MUNICIPIO;2
JAPERI;-22.6431;-43.6533;Baixada Fluminense;FORA DO MUNICIPIO;2
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;2
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;2
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;2
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;2
MAGE;-22.6556;-43.0402;Baixada Fluminense;FORA DO MUNICIPIO;2
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;2
MAGE;-22.6556;-43.0402;Baixada Fluminense;FORA DO MUNICIPIO;2
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;FORA DO MUNICIPIO;1
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;1
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;1
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;FORA DO MUNICIPIO;1
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;1
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;1
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;1
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;1
MIGUEL PEREIRA;-22.4537;-43.4682;Centro-Sul Fluminense;FORA DO MUNICIPIO;1
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;1
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;1
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;1
MAGE;-22.6556;-43.0402;Baixada Fluminense;FORA DO MUNICIPIO;1
MAGE;-22.6556;-43.0402;Baixada Fluminense;FORA DO MUNICIPIO;1
MARICA;-22.9194;-42.8186;Leste Metropolitano;FORA DO MUNICIPIO;1
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;1
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;FORA DO MUNICIPIO;1
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;1
MAGE;-22.6556;-43.0402;Baixada Fluminense;FORA DO MUNICIPIO;1
ITABORAI;-22.7448;-42.8597;Grande Niterói;FORA DO MUNICIPIO;1
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;1
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;1
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;1
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;1
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;1
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;1
CACHOEIRAS DE MACACU;-22.4652;-42.6522;Região Serrana;FORA DO MUNICIPIO;1
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;1
SEROPEDICA;-22.7439;-43.7076;Baixada Fluminense;FORA DO MUNICIPIO;1
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;1
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;1
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;1
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;1
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;1
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;1
GUAPIMIRIM;-22.5371;-42.9897;Baixada Fluminense;FORA DO MUNICIPIO;1
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;1
NITEROI;-22.8832;-43.1034;Grande Niterói;FORA DO MUNICIPIO;1
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;FORA DO MUNICIPIO;1
ITABORAI;-22.7448;-42.8597;Grande Niterói;FORA DO MUNICIPIO;1
MESQUITA;-22.7824;-43.4297;Baixada Fluminense;FORA DO MUNICIPIO;1
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;1
BOA ESPERANÇA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
VILA DO PINHEIRO, MARÉ;-22.9068;-43.1729;Centro;BAIRRO RJ;1
VILA COSMOS;-22.9068;-43.1729;Centro;BAIRRO RJ;1
CAMORIM    JACAREPAGUA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
CAMORIM  TAQUARA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
CAMPO FRANDE;-22.9068;-43.1729;Centro;BAIRRO RJ;1
CAMPO GRANDE   DIANA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
CAMPO GRANDE - CONDOMINIO PARQUE ROMA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
VIL VALQUEIRE;-22.9068;-43.1729;Centro;BAIRRO RJ;1
VILA ALIANCA - BANGU;-22.9068;-43.1729;Centro;BAIRRO RJ;1
CASCADURUA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
CATIRI;-22.87;-43.63;Zona Oeste;BAIRRO RJ;1
CAVALCANTIO;-22.9068;-43.1729;Centro;BAIRRO RJ;1
VASCONCELOS;-22.9068;-43.1729;Centro;BAIRRO RJ;1
VAZ  LOBO;-22.9068;-43.1729;Centro;BAIRRO RJ;1
BENTO  RIBEIRO;-22.9068;-43.1729;Centro;BAIRRO RJ;1
VISTA ALEDRE;-22.9068;-43.1729;Centro;BAIRRO RJ;1
CANPO GRANDE;-22.9068;-43.1729;Centro;BAIRRO RJ;1
TOMAZ COELHO;-22.9068;-43.1729;Centro;BAIRRO RJ;1
TUBIACANGA - ILHA DO GOVERNADOR;-22.9068;-43.1729;Centro;BAIRRO RJ;1
CEZARAO;-22.9068;-43.1729;Centro;BAIRRO RJ;1
CAMGO GRANDE;-22.9068;-43.1729;Centro;BAIRRO RJ;1
CAMORIM;-22.9068;-43.1729;Centro;BAIRRO RJ;1
VERIDIANA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
AUSTIN;-22.9068;-43.1729;Centro;BAIRRO RJ;1
ZANTA CRUZ;-22.9068;-43.1729;Centro;BAIRRO RJ;1
LARGO DOS GRENTES-TIJUCA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
LINS;-22.9068;-43.1729;Centro;BAIRRO RJ;1
LINS DE VASCONCELO;-22.9068;-43.1729;Centro;BAIRRO RJ;1
LINS DE VASCONSELOS;-22.9068;-43.1729;Centro;BAIRRO RJ;1
LINS E VASCONCELOS;-22.9068;-43.1729;Centro;BAIRRO RJ;1
VISTA ALEGRE - IRAJA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
THOMAZ COELHO;-22.9068;-43.1729;Centro;BAIRRO RJ;1
TODOS SANTOS;-22.9068;-43.1729;Centro;BAIRRO RJ;1
CENTRO DO RIO;-22.9068;-43.1729;Centro;BAIRRO RJ;1
CENTRO NILOPOLIS;-22.9068;-43.1729;Centro;BAIRRO RJ;1
T;-22.9068;-43.1729;Centro;BAIRRO RJ;1
TANQUE    JACAREPAGUA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
TAQUARA - JACAREPAGUA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
TAUA ILHA DO GOVERNADOR;-22.9068;-43.1729;Centro;BAIRRO RJ;1
SEROPEDICA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
SITIO DO PAI JOÃO;-22.9068;-43.1729;Centro;BAIRRO RJ;1
COSMOS - NOVA CONQUISTA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
CURICICA       JACAREPAGUA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
SENADOR VASCONCELLOS;-22.9068;-43.1729;Centro;BAIRRO RJ;1
SENADOR VASCONDELOS;-22.9068;-43.1729;Centro;BAIRRO RJ;1
SENSDOR CAMARA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
SEPETRIBA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
VILA KENEDY;-22.9068;-43.1729;Centro;BAIRRO RJ;1
SAQUAREMA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
ENGENGO DE DENTRO;-22.9068;-43.1729;Centro;BAIRRO RJ;1
CIDADE DE DEUS-JACAREPÁGUA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
CIRCULAR DA PENHA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
COELHO;-22.9068;-43.1729;Centro;BAIRRO RJ;1
SÃO CONRADO;-22.9997;-43.2708;Zona Sul;BAIRRO RJ;1
SÃO CRISTOVAO;-22.8997;-43.2242;Zona Norte;BAIRRO RJ;1
CAMPO GRANDE - TINGUI;-22.9068;-43.1729;Centro;BAIRRO RJ;1
CAMPO GRANDWE;-22.9068;-43.1729;Centro;BAIRRO RJ;1
CAMPO GREANDE;-22.9068;-43.1729;Centro;BAIRRO RJ;1
BANGU     CONJ. CALIFORNIA 13;-22.9068;-43.1729;Centro;BAIRRO RJ;1
BANGU - NOVA ALIANCA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
BANGU - VILA KENEDY;-22.9068;-43.1729;Centro;BAIRRO RJ;1
BANGU III;-22.9068;-43.1729;Centro;BAIRRO RJ;1
VILA KANNEDY;-22.9068;-43.1729;Centro;BAIRRO RJ;1
FREQUESIA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
FREQUESIA /   JACAREPAGUA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
SAO GONÇALO;-22.9068;-43.1729;Centro;BAIRRO RJ;1
CURICICA     JACAREPAGUA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
CURICICA    JACAREPAGUA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
SAO GONCALO;-22.9068;-43.1729;Centro;BAIRRO RJ;1
ESTACIO 2;-22.9068;-43.1729;Centro;BAIRRO RJ;1
SANTSSIMO;-22.9068;-43.1729;Centro;BAIRRO RJ;1
ENGENHEIRO PEDREIRA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
SANTA.CRUZ;-22.9068;-43.1729;Centro;BAIRRO RJ;1
SANTACRUZ;-22.9068;-43.1729;Centro;BAIRRO RJ;1
FREGUESIA      JACAREPAGUA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
FREGUESIA     JACAREPAGUA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
FREGUESIA (ILHA DO GOVERNADOR);-22.9068;-43.1729;Centro;BAIRRO RJ;1
FREGUESIA / JACAREPAGUA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
FREGUESIA JACAREPAGUA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
CASAMPAIO;-22.9068;-43.1729;Centro;BAIRRO RJ;1
SANTA CUZ;-22.9068;-43.1729;Centro;BAIRRO RJ;1
SAMPO GRANDE;-22.9068;-43.1729;Centro;BAIRRO RJ;1
SANTA CERUZ;-22.9068;-43.1729;Centro;BAIRRO RJ;1
ENGENHO DENTRO;-22.9068;-43.1729;Centro;BAIRRO RJ;1
ENGENHO DFA RAINHA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
ENGENHO ITAGUAI;-22.9068;-43.1729;Centro;BAIRRO RJ;1
SANTISSMO;-22.9068;-43.1729;Centro;BAIRRO RJ;1
THOMAS COELHO;-22.9068;-43.1729;Centro;BAIRRO RJ;1
COMENDADOR MARTINELLI;-22.9068;-43.1729;Centro;BAIRRO RJ;1
SÃO FEANCISCO XAVIER;-22.9068;-43.1729;Centro;BAIRRO RJ;1
SÃO FRANCISCO DO CROARA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
COELHO DA ROCHA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
COLEHO NETO;-22.9068;-43.1729;Centro;BAIRRO RJ;1
COLÉGIO;-22.8426;-43.3363;Zona Norte;BAIRRO RJ;1
CANTAGALO;-22.9068;-43.1729;Centro;BAIRRO RJ;1
SAJNTA CRUZ;-22.9068;-43.1729;Centro;BAIRRO RJ;1
SALGUEIRO;-22.9068;-43.1729;Centro;BAIRRO RJ;1
RICARDO DE ALBUQUQERQUE;-22.9068;-43.1729;Centro;BAIRRO RJ;1
RICARDO DE ALBURQUE;-22.9068;-43.1729;Centro;BAIRRO RJ;1
RICHUELO;-22.9068;-43.1729;Centro;BAIRRO RJ;1
RICRDO DE ALBUQUERQUE;-22.9068;-43.1729;Centro;BAIRRO RJ;1
RIO DA PRATA - CAMPO GRANDE;-22.9068;-43.1729;Centro;BAIRRO RJ;1
GUANDU DO SENA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
REALEANGO;-22.9068;-43.1729;Centro;BAIRRO RJ;1
REASLENGO;-22.9068;-43.1729;Centro;BAIRRO RJ;1
QUEIMADOS;-22.9068;-43.1729;Centro;BAIRRO RJ;1
QUINTINO BOCAIÚVA;-22.8958;-43.3192;Zona Norte;BAIRRO RJ;1
ILHA DO  GOVERNADOR;-22.9068;-43.1729;Centro;BAIRRO RJ;1
ILHA DO GOVERNEDOR;-22.9068;-43.1729;Centro;BAIRRO RJ;1
ILHA DO VOVERNADOR;-22.9068;-43.1729;Centro;BAIRRO RJ;1
SABTA CRUZ;-22.9068;-43.1729;Centro;BAIRRO RJ;1
SAO PEDRO DA ALDEIA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
PRAÇA SECA    JACAREPAGUA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
PRADOS VERDES;-22.9068;-43.1729;Centro;BAIRRO RJ;1
PRAIA DA BANDEIRA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
RECREIO BANDERNTES;-22.9068;-43.1729;Centro;BAIRRO RJ;1
RECREIO DOS BANDERANTES;-22.9068;-43.1729;Centro;BAIRRO RJ;1
GALEÃO;-22.9068;-43.1729;Centro;BAIRRO RJ;1
GARDENIA AZUL - JACAREPAGUA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
COPA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
COSMOS (LT STA MARGARIDA);-22.9068;-43.1729;Centro;BAIRRO RJ;1
COSMOS -  CAMPO GRANDE;-22.9068;-43.1729;Centro;BAIRRO RJ;1
SDENADOR CAMARA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
SECAMPO GRANDE;-22.9068;-43.1729;Centro;BAIRRO RJ;1
SENADOR AUGUSTO VASCONCELOS;-22.9068;-43.1729;Centro;BAIRRO RJ;1
COMOS;-22.9068;-43.1729;Centro;BAIRRO RJ;1
CONCECAO DE JACAREI;-22.9068;-43.1729;Centro;BAIRRO RJ;1
ITAHANGA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
INHOAIBA       VILAR CARIOCA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
INHOAIBA NOVA CIDADE;-22.9068;-43.1729;Centro;BAIRRO RJ;1
INHOASIBA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
IPIRANGA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
I. GOVERNADOR;-22.9068;-43.1729;Centro;BAIRRO RJ;1
I.GOVERNADOR   JARDIM CARIOCA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
IL DA PENHA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
JACAREPAGUA       PRAÇA SECA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
JACAREPAGUA       TAQUARA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
JACAREPAGUA      C. DE DEUS;-22.9068;-43.1729;Centro;BAIRRO RJ;1
JACAREPAGUA      CURICICA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
PQ ANCHIETA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
IRAJÁ;-22.8317;-43.3239;Zona Norte;BAIRRO RJ;1
ITABORAI;-22.9068;-43.1729;Centro;BAIRRO RJ;1
ITAGUAI;-22.9068;-43.1729;Centro;BAIRRO RJ;1
SANTA CRU\Z;-22.9068;-43.1729;Centro;BAIRRO RJ;1
JACAREPAGUA     C. DE DEUS;-22.9068;-43.1729;Centro;BAIRRO RJ;1
JACAREPAGUA     PRAÇA SECA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
JACAREPAGUA     TANQUE;-22.9068;-43.1729;Centro;BAIRRO RJ;1
JACAREPAGUA    - GARDENIA AZUL;-22.9068;-43.1729;Centro;BAIRRO RJ;1
JABOUR;-22.9068;-43.1729;Centro;BAIRRO RJ;1
JABOUR - BANGU;-22.9068;-43.1729;Centro;BAIRRO RJ;1
JACAREPAGUA        PRACA SECA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
GUARATIBA - CAMPO GRANDE;-22.9068;-43.1729;Centro;BAIRRO RJ;1
RIACHUELOO;-22.9068;-43.1729;Centro;BAIRRO RJ;1
RICARDO DE ALBUQUERUQE;-22.9068;-43.1729;Centro;BAIRRO RJ;1
FLEIXAL - GUAPIMIRIM;-22.9068;-43.1729;Centro;BAIRRO RJ;1
FAZENDA BOTAFOGO;-22.9068;-43.1729;Centro;BAIRRO RJ;1
SANTA CRRUZ;-22.9068;-43.1729;Centro;BAIRRO RJ;1
SANTA CRUZ -;-22.9068;-43.1729;Centro;BAIRRO RJ;1
SANTA CRUZ - BARRO VERMELHO;-22.9068;-43.1729;Centro;BAIRRO RJ;1
JACAREPAGUA-PRAÇA SECA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
JACAREPAGUA    TANQUE;-22.9068;-43.1729;Centro;BAIRRO RJ;1
JACAREPAGUA    VILA OLIMPICA;-22.9068;-43.1729;Centro;BAIRRO RJ;1
